drop_p,model,seed,precision,recall,f1,fpr,auroc,ap,n_test,n_test_mal,n_perturbed
0.75,GraphSAGE,1,1.0,0.24,0.3870967741935484,0.0,0.9543154761904762,0.828660876592391,697,25,19
0.75,B-Sentry-critical,1,1.0,0.24,0.3870967741935484,0.0,0.7876190476190477,0.5452613827391988,697,25,19
0.75,B-Sentry-tiered,1,0.36666666666666664,0.44,0.4,0.028273809523809524,0.7876190476190477,0.5452613827391988,697,25,19
0.75,XChainWatcher,2,0.9523809523809523,0.8,0.8695652173913043,0.001488095238095238,0.8992559523809524,0.7690783630525381,697,25,19
0.75,Graph2Vec,2,0.3333333333333333,0.24,0.27906976744186046,0.017857142857142856,0.8695833333333333,0.3957661439000043,697,25,19
0.75,GCN,2,1.0,0.24,0.3870967741935484,0.0,0.9638095238095238,0.8815905114233288,697,25,19
0.75,GraphSAGE,2,1.0,0.24,0.3870967741935484,0.0,0.9795833333333334,0.8787354409983182,697,25,19
0.75,B-Sentry-critical,2,1.0,0.24,0.3870967741935484,0.0,0.9355357142857142,0.7457354699346735,697,25,19
0.75,B-Sentry-tiered,2,0.5357142857142857,0.6,0.5660377358490566,0.019345238095238096,0.9355357142857142,0.7457354699346735,697,25,19
0.75,XChainWatcher,3,1.0,0.68,0.8095238095238095,0.0,0.8400000000000001,0.6914777618364419,697,25,19
0.75,Graph2Vec,3,0.42857142857142855,0.24,0.3076923076923077,0.011904761904761904,0.9393452380952381,0.5151136054004333,697,25,19
0.75,GCN,3,1.0,0.24,0.3870967741935484,0.0,0.9947619047619047,0.9474243608532814,697,25,19
0.75,GraphSAGE,3,1.0,0.24,0.3870967741935484,0.0,0.9910714285714286,0.9132496579725496,697,25,19
0.75,B-Sentry-critical,3,1.0,0.24,0.3870967741935484,0.0,0.9629761904761905,0.7525989716345385,697,25,19
0.75,B-Sentry-tiered,3,0.6521739130434783,0.6,0.625,0.011904761904761904,0.9629761904761905,0.7525989716345385,697,25,19
0.75,XChainWatcher,4,0.9375,0.6,0.7317073170731707,0.001488095238095238,0.7992559523809525,0.5768472022955524,697,25,19
0.75,Graph2Vec,4,0.3333333333333333,0.24,0.27906976744186046,0.017857142857142856,0.8558928571428571,0.3753075692198897,697,25,19
0.75,GCN,4,1.0,0.24,0.3870967741935484,0.0,0.9436309523809524,0.6661396016443021,697,25,19
0.75,GraphSAGE,4,1.0,0.24,0.3870967741935484,0.0,0.9489880952380951,0.7561989364055361,697,25,19
0.75,B-Sentry-critical,4,1.0,0.24,0.3870967741935484,0.0,0.8847619047619047,0.6299888937343984,697,25,19
0.75,B-Sentry-tiered,4,0.48,0.48,0.48,0.019345238095238096,0.8847619047619047,0.6299888937343984,697,25,19
0.75,XChainWatcher,5,1.0,0.64,0.7804878048780488,0.0,0.8200000000000001,0.6529124820659972,697,25,19
0.75,Graph2Vec,5,0.5454545454545454,0.24,0.3333333333333333,0.00744047619047619,0.7066666666666667,0.29672429279642804,697,25,19
0.75,GCN,5,1.0,0.24,0.3870967741935484,0.0,0.9755357142857143,0.8500900585065725,697,25,19
0.75,GraphSAGE,5,1.0,0.24,0.3870967741935484,0.0,0.9829166666666667,0.8995902780355095,697,25,19
0.75,B-Sentry-critical,5,1.0,0.2,0.3333333333333333,0.0,0.7789285714285714,0.683128422536624,697,25,19
0.75,B-Sentry-tiered,5,0.75,0.6,0.6666666666666666,0.00744047619047619,0.7789285714285714,0.683128422536624,697,25,19
1.0,XChainWatcher,1,0.8888888888888888,0.32,0.47058823529411764,0.001488095238095238,0.6592559523809525,0.3088346883468835,697,25,25
1.0,Graph2Vec,1,0.0,0.0,0.0,0.026785714285714284,0.7611904761904762,0.13052490949158543,697,25,25
1.0,GCN,1,0.0,0.0,0.0,0.0,0.9531547619047618,0.7134003392709545,697,25,25
1.0,GraphSAGE,1,0.0,0.0,0.0,0.0,0.921547619047619,0.7540940596459156,697,25,25
1.0,B-Sentry-critical,1,0.0,0.0,0.0,0.0,0.7922023809523809,0.3816113493767117,697,25,25
1.0,B-Sentry-tiered,1,0.2692307692307692,0.28,0.27450980392156865,0.028273809523809524,0.7922023809523809,0.3816113493767117,697,25,25
